Description,Type,Version 8 Alias,Version 8 Program,Version 7 Program,Version 6 Name,Program Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
 - Create Payroll Codes,T,,,prm_mn.bbx,PRM_MN,Utility,,,,
 - Create Union Contribution Codes,T,,,prm_mo.bbx,PRM_MO,Utility,,,,
 - Union History Display,T,,,prm_mp.bbx,PRM.MP,Display,,,,
 - Hard Copy,T,,,prm_mq.bbx,PRM.MQ,Report,,,,
Contribution Codes ,T,,,prm_da.bbx,PRM_DA,Entry,,,,
 - Entry,T,,,prm_db.bbx,PRM_DB,Entry,,,,
 - Print Listing,T,PRC_CONTCODE,prr_contrib_cd.aon,prm_dc.bbx,PRM_DC,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI
Department Codes,T,,,prm_ea.bbx,PRM_EA,Entry,,,,
 - Pay Codes,T,,,prm_eb.bbx,PRM_EB,Entry,,,,
 - Tax Codes,T,,,prm_ec.bbx,PRM_EC,Entry,,,,
 - Contribution Codes,T,,,prm_ed.bbx,PRM_ED,Entry,,,,,,
 - Listing,T,PRC_DEPTCODE,prr_depart_cd.aon,prm_ee.bbx,PRM_EE,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Deduction Codes,T,,,prm_ba.bbx,PRM_BA,Entry,,,,,,
 - Entry,T,,,prm_bb.bbx,PRM_BB,Entry,,,,,,
 - Print Listing,T,PRC_DDCTCODE,prr_deduction_cd.aon,prm_bc.bbx,PRM_BC,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Labor Distribution,T,,,prm_la.bbx,PRM_LA,Entry,,,,,,"yes, only one program and no listing"
Pay Codes,T,,,prm_aa.bbx,PRM_AA,Entry,,,,,,
 - Entry,T,,,prm_ab.bbx,PRM_AB,Entry,,,,,,
 - Print Listing,T,PRC_PAYCODE,prr_pay_cd.aon,prm_ac.bbx,PRM_AC,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Report Codes,T,,,prm_ha.bbx,PRM_HA,Entry,,,,,,
 - Print Listing,T,PRC_RPRTCODE,prr_report_cd,prm_hb.bbx,PRM_HB,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Tax Codes,T,,,prm_ca.bbx,PRM_CA,Entry,,,,,,
 - Entry,T,,,prm_cb.bbx,PRM_CB,Entry,,,,,,
 - Print Listing,T,PRC_TAXCODE,prr_tax_cd.aon,prm_cc.bbx,PRM_CC,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Tax Tables,T,,,prm_ia.bbx,PRM_IA,Entry,,,,,,
 - Entry,T,,,prm_ib.bbx,PRM_IB,Entry,,,,,,
 - Print Listing,T,PRC_TAXTABLE,prr_taxtable.aon,prm_ic.bbx,PRM_IC,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Title Codes,T,,,prm_fa.bbx,PRM_FA,Entry,,,,,,
 - Print Listing,T,,,prm_fb.bbx,PRM_FB,Report,,print via docout,,,,
Total Codes,T,,,prm_ga.bbx,PRM_GA,Entry,,,,,,
 - Print Listing,T,,,prm_gb.bbx,PRM_GB,Report,,print via docout,,,,
Union Codes,T,,,prm_ja.bbx,PRM_JA,Entry,,,,,,
 - Pay Code Assignments,T,,,prm_jb.bbx,PRM_JB,Entry,,,,,,
 - Deduction Code Assignments,T,,,prm_jc.bbx,PRM_JC,Entry,,,,,,
 - Contribution Code Assignments,T,,,prm_jd.bbx,PRM_JD,Entry,,,,,,
 - Print Listing,T,PRC_UNNCODE,prr_union_cd.aon,prm_je.bbx,PRM_JE,Report,,DONE PS-OSI,DONE PS-OSI,DONE PS-OSI,,
Parameters,G,,,,,,,,,,,
Application Parameters I,T,,,prp_aa.bbx,PRP_AA,Entry,,,,,,
 - Main Parameters,T,,,prp_ab.bbx,PRP_AB,Entry,,,,,,
 - Report Parameters,T,,,prp_ac.bbx,PRP_AC,Entry,,,,,,
Utilities,G,,,,,,,,,,,
Payroll Conversion Entry I,T,,,prx_aa.bbx,PRX_AA,Entry,,,,,,Entering/changing data - limited access only
Payroll Conversion Entry - Earnings,T,,,prx_ab.bbx,PRX_AB,Entry,,,,,,Entering/changing data - limited access only
Payroll Conversion Entry - Deductions,T,,,prx_ac.bbx,PRX_AC,Entry,,,,,,Entering/changing data - limited access only
Payroll Conversion Entry - Taxes,T,,,prx_ad.bbx,PRX_AD,Entry,,,,,,Entering/changing data - limited access only
Payroll Conversion Entry - Contributions,T,,,prx_ae.bbx,PRX_AE,Entry,,,,,,Entering/changing data - limited access only
Purge Check Work File,T,,prr_chkwork.aon,prx_ga.bbx,PRX_GA,Update, ,DONE PS-OSI,,,, 
Update Tax Tables for New Year,T,,,prx_ta.bbx,PRX_TA,Update, ,,,,,Not necessary as from mail from Chris
Publics,G,,,,,,,,,,,
Generate GL Postings (called),T,,prc_genglposting.aon,prc_ga.bbx,PRC_GA,Public,,DONE NV-OSI,,,,
,,,,,,Public,,,,,,
,,,,,,Public,,,,,,
New Programs for Payroll Detail History,,,,,,,,,,,,
Detail Check History,T,,,,PRR_XB,Report,,needs,needs,needs,needs,** New - needed for Payroll Check History
Detail History Reports ,T,,,,PRR_8A,Report,,needs,needs,needs,needs,** New - needed for Payroll Check History

New Files for Payroll Detail History,,,,,,,,,,,,
"PRT-61,PRT-62,PRT-63,PRT-64,PRT-65,PRT-66",,,,,,,,,,,,** New - needed for Payroll Check History
PRT-03 - expand key,,,,,,,,,,,,** Change required for Payroll Check History

----,,,,,,,,,,,,

Programs in CodePort source folder not yet accounted for above AND probably not needed,,,,,,,,,,,,
prc_la.bbx,Employee Lookup,,,,,,,,,,,
prc_vn.bbx,PR Version Number,,,,,,,,,,,

prr_gd.bbx,Check printing side-by-side - probably not needed.,,,,,,,,,,,
 ,,,,,,,,,,,,
prw_da.bbx,not needed - Mag media,,,,,,,,,,,
prw_ma.bbx,not needed - Mag media,,,,,,,,,,,
prw_wa.bbx,not needed - W2 calc - old,,,,,,,,,,,
prw_wb.bbx,not needed - W2 calc - old,,,,,,,,,,,
prw_za.bbx,not needed - W2 print,,,,,,,,,,,
prw_zb.bbx,not needed - W2 print,,,,,,,,,,,
prx70a.bbx,not needed - convert data to 7.0
prx_ba.bbx,not needed - rebuild empl x-ref
