Description,Type,Version 8 Alias,Version 8 Program,Version 6 Name,Program Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
LIFO/FIFO Tier Maintenance,T,IVX_LIFOFIFO,,IVX.FA,Input,,,,,,
,T,,,IVX.FB,Report/Update,,,,,,
Copy Items to Another Warehouse,T,IVX_COPYITEM,,IVX.DA,Update,,,,,,
Rebuild Unit Costs,A,,ivx_rebuildcosts.aon,IVX.IA,Update,,JL?,,,,
Inventory Publics,G,,,,,,,,,,
Calculate Actual & Estimated Annual Usage,P,,ivc_usage,IVC.AU,Public,,CH,,,,Replaced the ivm-03 file with ivm-02 alternate key 2
Price/Cost Change by Percentage,P,,,IVC.CA,Public,,Done SV-BP,,,,
Delete Item and/or Warehouse,P,,,IVC.DA,Public,,Done SV-BP,,,,
Activity Type Descriptions,P,,ivc_activity,IVC.FA,Public,,CH,,,,
Inventory Item Entry,P,,,IVC.IA,Public,,Done SV-BP,,,,
Standard Report Options Input,P,,,IVC.IB,Public,,Done SV-BP,,,,
Physical Inventory Entry Screen Processing,P,,,IVC.IC,Public,,Done SV-BP,,,,
LIFO/FIFO Reporting And Inquiry,P,,,IVC.LF,Public,,Done SV-BP,,,,
Return Period Quantity Based On Activity Type,P,,ivc_periodqty,IVC.PA,Public,,CH,,,,
Inventory Activity Type Column Entry,P,,,IVC.RA,Public,,Done SV-BP,,,,
Lot/Serial Input,P,,,IVC.SA,Public,,Done SV-BP,,,,
Inventory Warning Messages,P,,ivc_warnings,IVC.SB,Public,,JL,,,,
Generate Lot/Serial Numbers,P,,,IVC.SN,Public,,Done SV-BP,,,,
Process Inventory Transaction Display Window,P,,,IVC.TA,Public,,Done SV-BP,,,,
Process Lot/Serial Inventory Transaction Display Window,P,,,IVC.TB,Public,,Done SV-BP,,,,
Format Standard Transaction References,P,,ivc_transdata,IVC.TD,Public,,JL,,,,
Inventory Item Update (ATAMO),P,,ivc_itemupdt,IVC.UA,Public,,JL,,,,
Return Warehouse Information,P,,ivc_whseinfo,IVC.WA,Public,,CH,,,,Replaced the ivm-03 file with ivm-02 alternate key 2
Return Warehouse Activity,P,,ivc_whseact,IVC.WB,Public,,JL,,,,Replaced the ivm-03 file with ivm-02 alternate key 2
